entity_id,state,last_changed
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,115,79",2024-11-15T22:00:00.000Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,193,195,115,75",2024-11-15T22:00:02.252Z
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,115,79",2024-11-15T22:00:17.248Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,194,115,79",2024-11-15T22:00:32.251Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,192,194,115,79",2024-11-15T22:00:47.248Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,185,193,195,115,75",2024-11-15T22:01:02.250Z
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,115,79",2024-11-15T22:01:17.247Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,195,115,75",2024-11-15T22:01:32.247Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,115,79",2024-11-15T22:01:47.246Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,195,115,75",2024-11-15T22:02:02.247Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,194,115,79",2024-11-15T22:02:17.249Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,195,115,75",2024-11-15T22:02:32.252Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,115,79",2024-11-15T22:02:47.246Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,195,115,75",2024-11-15T22:03:02.252Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,193,195,115,75",2024-11-15T22:03:17.245Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,116,79",2024-11-15T22:03:47.245Z
sensor.van_central_gray_water_segment_data,"150,156,162,170,185,193,195,116,75",2024-11-15T22:04:02.245Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,116,79",2024-11-15T22:04:17.245Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,193,195,116,75",2024-11-15T22:04:32.248Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,192,194,116,79",2024-11-15T22:04:47.245Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,116,79",2024-11-15T22:05:02.248Z
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,115,79",2024-11-15T22:05:17.244Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,192,195,115,75",2024-11-15T22:05:32.248Z
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,115,79",2024-11-15T22:05:47.244Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,193,194,116,79",2024-11-15T22:06:17.244Z
sensor.van_central_gray_water_segment_data,"149,156,162,171,184,193,194,116,79",2024-11-15T22:06:47.243Z
sensor.van_central_gray_water_segment_data,"149,156,161,170,184,193,195,116,75",2024-11-15T22:07:02.246Z
sensor.van_central_gray_water_segment_data,"149,156,162,171,184,193,194,116,79",2024-11-15T22:07:17.243Z
sensor.van_central_gray_water_segment_data,"150,157,162,170,185,193,195,116,75",2024-11-15T22:07:32.246Z
sensor.van_central_gray_water_segment_data,"149,155,161,170,184,192,194,116,79",2024-11-15T22:07:47.243Z
sensor.van_central_gray_water_segment_data,"152,158,164,173,187,195,195,106,78",2024-11-15T22:08:02.246Z
sensor.van_central_gray_water_segment_data,"146,153,159,166,180,188,190,109,71",2024-11-15T22:08:17.243Z
sensor.van_central_gray_water_segment_data,"145,152,158,167,180,188,190,112,76",2024-11-15T22:08:32.246Z
sensor.van_central_gray_water_segment_data,"146,153,159,167,180,188,191,116,74",2024-11-15T22:08:47.242Z
sensor.van_central_gray_water_segment_data,"145,152,158,166,180,188,191,118,74",2024-11-15T22:09:02.242Z
sensor.van_central_gray_water_segment_data,"145,153,159,166,180,188,191,121,75",2024-11-15T22:09:17.242Z
sensor.van_central_gray_water_segment_data,"146,153,159,167,180,188,192,120,75",2024-11-15T22:09:32.242Z
sensor.van_central_gray_water_segment_data,"146,153,159,167,181,190,192,120,75",2024-11-15T22:09:47.242Z
sensor.van_central_gray_water_segment_data,"145,152,159,167,180,188,190,120,79",2024-11-15T22:10:02.245Z
sensor.van_central_gray_water_segment_data,"149,156,161,171,184,193,194,124,82",2024-11-15T22:10:17.243Z
sensor.van_central_gray_water_segment_data,"145,152,159,167,180,188,190,120,79",2024-11-15T22:10:32.245Z
sensor.van_central_gray_water_segment_data,"151,157,163,172,186,194,196,130,84",2024-11-15T22:10:47.241Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,199,203,146,91",2024-11-15T22:11:02.246Z
sensor.van_central_gray_water_segment_data,"157,163,169,177,193,201,207,164,96",2024-11-15T22:11:17.242Z
sensor.van_central_gray_water_segment_data,"157,163,169,177,192,201,207,176,105",2024-11-15T22:11:32.244Z
sensor.van_central_gray_water_segment_data,"158,164,170,178,193,203,209,185,115",2024-11-15T22:11:47.241Z
sensor.van_central_gray_water_segment_data,"156,161,168,177,192,200,207,189,132",2024-11-15T22:12:02.244Z
sensor.van_central_gray_water_segment_data,"160,167,173,182,197,207,213,198,154",2024-11-15T22:12:17.241Z
sensor.van_central_gray_water_segment_data,"160,167,174,182,197,207,215,200,171",2024-11-15T22:12:32.244Z
sensor.van_central_gray_water_segment_data,"158,164,171,180,195,205,212,199,181",2024-11-15T22:12:47.241Z
sensor.van_central_gray_water_segment_data,"162,169,175,183,200,210,218,205,194",2024-11-15T22:13:02.244Z
sensor.van_central_gray_water_segment_data,"159,165,171,180,195,206,213,201,195",2024-11-15T22:13:17.241Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,208,196,191",2024-11-15T22:13:32.244Z
sensor.van_central_gray_water_segment_data,"153,160,166,174,189,200,208,196,191",2024-11-15T22:13:47.240Z
sensor.van_central_gray_water_segment_data,"154,160,166,174,189,200,208,196,191",2024-11-15T22:14:02.240Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:14:17.240Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,208,196,192",2024-11-15T22:14:32.246Z
sensor.van_central_gray_water_segment_data,"154,159,166,175,189,200,207,196,195",2024-11-15T22:14:47.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:15:02.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:15:17.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:15:47.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:16:02.253Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:16:17.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:16:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:16:47.245Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,200,208,198,195",2024-11-15T22:17:02.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:17:17.244Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,208,198,192",2024-11-15T22:17:32.248Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:17:47.245Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:18:02.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,195",2024-11-15T22:18:17.244Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:18:32.247Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:18:47.244Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:19:02.238Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:19:17.243Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,208,198,192",2024-11-15T22:19:32.247Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:19:47.244Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,201,209,198,192",2024-11-15T22:20:32.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:20:47.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,195",2024-11-15T22:21:02.250Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:21:17.243Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:21:32.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:21:47.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:22:02.244Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:22:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:22:47.243Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,196,192",2024-11-15T22:23:02.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:23:17.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:23:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:23:47.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:24:02.243Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,196,192",2024-11-15T22:24:47.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:25:02.246Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,201,208,198,195",2024-11-15T22:25:17.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:25:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:25:47.241Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,208,198,192",2024-11-15T22:26:02.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:26:17.243Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:26:32.245Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:27:02.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,196,195",2024-11-15T22:27:17.244Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,195",2024-11-15T22:27:32.244Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:27:47.242Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,208,198,192",2024-11-15T22:28:02.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:28:17.242Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:28:32.241Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:28:47.247Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:29:02.241Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:29:17.245Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:29:32.241Z
sensor.van_central_gray_water_segment_data,"155,161,167,175,191,200,209,198,192",2024-11-15T22:29:47.242Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:30:02.241Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:30:32.239Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:30:47.235Z
sensor.van_central_gray_water_segment_data,"154,159,166,175,191,200,207,196,195",2024-11-15T22:31:02.235Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,200,208,196,192",2024-11-15T22:31:17.235Z
sensor.van_central_gray_water_segment_data,"154,159,166,175,189,200,207,196,195",2024-11-15T22:31:32.239Z
sensor.van_central_gray_water_segment_data,"154,159,166,175,189,200,207,196,194",2024-11-15T22:31:47.236Z
sensor.van_central_gray_water_segment_data,"154,160,166,174,189,200,208,196,191",2024-11-15T22:32:02.236Z
sensor.van_central_gray_water_segment_data,unavailable,2024-11-15T22:32:29.953Z
sensor.van_central_gray_water_segment_data,"162,168,175,184,200,211,218,207,205",2024-11-15T22:33:00.188Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,209,198,192",2024-11-15T22:33:13.557Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:33:28.556Z
sensor.van_central_gray_water_segment_data,"155,161,168,176,192,201,208,198,196",2024-11-15T22:33:43.559Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,195",2024-11-15T22:33:58.626Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:34:13.556Z
sensor.van_central_gray_water_segment_data,"155,161,168,176,192,201,208,198,196",2024-11-15T22:34:28.557Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,196",2024-11-15T22:34:43.556Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:34:58.557Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,196",2024-11-15T22:35:13.557Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,192,201,209,198,194",2024-11-15T22:35:28.560Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,195",2024-11-15T22:35:43.555Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:35:58.559Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,201,208,198,195",2024-11-15T22:36:13.558Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,194",2024-11-15T22:36:28.557Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:36:43.558Z
sensor.van_central_gray_water_segment_data,"155,161,168,176,192,201,208,198,196",2024-11-15T22:36:58.557Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:37:13.562Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,194",2024-11-15T22:37:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,196",2024-11-15T22:37:43.562Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,208,198,195",2024-11-15T22:37:58.562Z
sensor.van_central_gray_water_segment_data,"153,159,166,175,191,200,208,198,198",2024-11-15T22:38:13.562Z
sensor.van_central_gray_water_segment_data,"158,164,171,179,195,206,215,204,201",2024-11-15T22:38:28.563Z
sensor.van_central_gray_water_segment_data,"156,161,168,178,193,204,211,201,201",2024-11-15T22:38:43.562Z
sensor.van_central_gray_water_segment_data,"157,164,170,179,195,205,215,204,201",2024-11-15T22:38:58.564Z
sensor.van_central_gray_water_segment_data,"157,163,169,178,194,205,213,203,200",2024-11-15T22:39:13.563Z
sensor.van_central_gray_water_segment_data,"160,165,172,181,197,207,216,207,207",2024-11-15T22:39:28.564Z
sensor.van_central_gray_water_segment_data,"157,163,170,179,195,205,213,203,204",2024-11-15T22:39:43.562Z
sensor.van_central_gray_water_segment_data,"157,163,169,178,194,204,212,201,199",2024-11-15T22:39:58.564Z
sensor.van_central_gray_water_segment_data,"160,167,173,182,199,209,217,207,204",2024-11-15T22:40:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,166,176,191,200,208,199,198",2024-11-15T22:40:43.562Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,199,199",2024-11-15T22:40:58.563Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,192,201,209,199,199",2024-11-15T22:41:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,209,199,196",2024-11-15T22:41:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,174,191,200,209,199,195",2024-11-15T22:41:58.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,209,199,196",2024-11-15T22:42:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,192,201,209,200,199",2024-11-15T22:42:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,201,209,199,196",2024-11-15T22:42:43.565Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,201,209,199,196",2024-11-15T22:42:58.564Z
sensor.van_central_gray_water_segment_data,"153,159,165,174,189,199,208,196,194",2024-11-15T22:43:13.563Z
